ASIN,Status,Fetched Price,Seller,New Price,Remark
B0DVCBYP5K,Adjusted,320.0,Amilav Collections,319.97,"Seller is other, adjusted price"
B0GDTT4KNL,Adjusted,310.0,Amilav Collections,309.97,"Seller is other, adjusted price"
B0H2119HDT,Skip - No price,,,,
B0H219J5JK,Skip - No price,,,,
B0FSSKDJN4,Adjusted,167.0,Amilav Collections,166.97,"Seller is other, adjusted price"
B0GXPGPYLQ,Adjusted,145.0,Amilav Collections,144.97,"Seller is other, adjusted price"
B0DCGLNPSV,Adjusted,277.0,Amilav Collections,276.97,"Seller is other, adjusted price"
B0D7J4L37M,Skip - No seller / No buy box,,,,
B0GLH5C8FR,Adjusted,141.0,Amilav Collections,140.97,"Seller is other, adjusted price"
B0FYPNNGML,Adjusted,179.0,Amilav Collections,178.97,"Seller is other, adjusted price"
B0GP6Z84F9,Adjusted,80.0,Amilav Collections,79.97,"Seller is other, adjusted price"
B0F2FMKDLG,Adjusted,194.0,Amilav Collections,193.97,"Seller is other, adjusted price"
B0D1VCRPFP,Adjusted,97.0,Amazon US,96.97,"Seller is other, adjusted price"
B0CTFL495Y,Adjusted,143.0,Amilav Collections,142.97,"Seller is other, adjusted price"
B0F673X757,Skip - No price,,,,
B0GDTZX37L,Adjusted,310.0,Amilav Collections,309.97,"Seller is other, adjusted price"
B0FNRLLRZH,Adjusted,68.0,Amilav Collections,67.97,"Seller is other, adjusted price"
B0G5PYVPTT,Skip - No seller / No buy box,,,,
B0G5Q4NWN9,Skip - No price,,,,
B0CW3G846L,Adjusted,130.0,Amilav Collections,129.97,"Seller is other, adjusted price"
B0D9KJVTCP,Adjusted,133.0,Amilav Collections,132.97,"Seller is other, adjusted price"
B0F6D7T8KM,Adjusted,186.0,Amilav Collections,185.97,"Seller is other, adjusted price"
B0CW3HC5G9,Adjusted,195.0,Amilav Collections,194.97,"Seller is other, adjusted price"
B0DVCBH9GJ,Adjusted,310.0,Amilav Collections,309.97,"Seller is other, adjusted price"
B0GQNLQ6PR,Adjusted,182.0,Amilav Collections,181.97,"Seller is other, adjusted price"
